czech,english,block_id,topic_id
běžet,run,,
chodit,walk,,
mluvit,talk,,
spát,sleep,,
pracovat,work,,
sedět,sit,,
stát,stand,,
otevřít,open,,
zavřít,close,,
koupit,buy,,
prodat,sell,,
vařit,cook,,
týden,week,,
měsíc (kalendářní),month,,
rok,year,,
dnes,today,,
zítra,tomorrow,,
včera,yesterday,,
hodina,hour,,
minuta,minute,,
sekunda,second,,
kniha,book,,
pero (psací),pen,,
stůl,table,,
židle,chair,,
škola,school,,
učitel,teacher,,
žák,pupil,,
taška,bag,,
dům,house,,
auto,car,,
telefon,phone,,
postel,bed,,
počítač,computer,,
hodiny (přístroj),clock,,
horký,hot,,
studený,cold,,
velký,big,,
malý,small,,
šťastný,happy,,
smutný,sad,,
špatný,bad,,
rychlý,fast,,
pomalý,slow,,
vysoký,tall,,
krátký,short,,
světlý,light,,
tmavý,dark,,
mladý,young,,
starý,old,,
snadný,easy,,
tvrdý,hard,,
blízko,near,,
daleko,far,,
hlava,head,,
vlasy,hair,,
oko,eye,,
ucho,ear,,
nos,nose,,
ústa,mouth,,
zuby,teeth,,
jazyk (v puse),tongue,,
krk,neck,,
ruka,hand,,
paže,arm,,
noha,leg,,
chodidlo,foot,,
prst,finger,,
prst (na noze),toe,,
břicho,stomach,,
záda,back,,
chleba,bread,,
rýže,rice,,
voda,water,,
mléko,milk,,
jablko,apple,,
banán,banana,,
pomeranč,orange,,
mango,mango,,
maso,meat,,
